title,artist,creator,tags,num_timing_points,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
Hoshi ga Matataku Konna Yoru ni,supercell,Yukiyo,today is a beautiful day ryo yanagi nagi atalanta Mahoutsukai no Type-Moon,214,17,269.458375,840787,0.0593783733758507
Carol of the Bells (Nightstep Mix),BarlowGirl,Nuvolina,dubstep MaridiuS Anto [_Kuro_Usagi_] [ Kuro Usagi ] Home for Christmas sing we now electronic english nightcore merry xmas Spaced Out Studio & Vizzwar,110,55,132.4756875,842355,0.407621964596334
Ame to Asphalt,40mP feat. yuikonnu,Nevo,vocaloid hatsune miku 初音ミク 40mp 40㍍P map △○□× nico douga シンタイソクテイ shunao shogunmoon mir sotarks yukiyo agastu lasse utaite cover exit pp tunes presents cindarella yuikonnu yuiko yukiyo,8,3,134.89462585034013,842562,0.0148263875405897
Futatsu No Kodou To Akai Tsumi,ON/OFF,osuplayer111,Anime Vampire Knight Drama,75,2,97.8024375,8447,0.0102246940420068
Panic! Pop'n! Picnic!,Umeboshi Chazuke,Dudamesh,featured artist fa Aiq MyLonelyAlpaca Sisig popn Chiptune Bitpop BOFU2016 -Legendary Again- Hi-Pop Electronic Instrumental,55,9,136.26916099773243,845013,0.0587073402479752
Crocus,Cranky,PandaHero,Niva Nivalis Mirash mappers' guild featured artist osu! record4 mood hiroshi watanabe feline groove,81,13,253.0742857142857,847764,0.0474169075144508
Daisy Blue,Kano,Rieri,アルストロメリア すこっぷ,53,8,254.4065306122449,850717,0.0275150169421911
One day (TV Size),The ROOTLESS,iYiyo,Atsuro Janssen hypercyte hypercute Chaoslitz Sh1n1 Shini -Sh1n1- Irohas mugiwarasekai opening 13 toei animation pirates Anime Japanese,44,16,150.80491666666666,851838,0.0994662530344114
Hikari e (TV Size),The BABYSTARS,iYiyo,Yohanes Atsuro Janssen Irohas Mugiwarasekai Mortem ワンピース opening 3 op3 toei animation pirates Anime Japanese j-rock jrock rock ベビスタ Bebisuta 田中明仁 Akihito Tanaka 高橋りきや Takahashi Rikiya,233,148,109.75031746031746,851839,1.3394038705459868
Watashi ni Kaeru Tabi,FROZEN QUALIA,Mordred,夢乃ゆき yumeno yuki japanese,46,5,260.49304166666667,851853,0.0153554965399747
Gu Niang De Jiu Wo,A Zhong Bu Dai Xi,Hey lululu,性不性由你 豬公村日記 雞拔毛 老山東 高凌風 Frankie Kao deyo Tomoka Rin leo16834 [ TNTlealu ],14,9,39.13142857142857,853469,0.2044392523364486
Despacito (Speed Up Ver.),Naju & Tute,Testo,luis fonsi ft. daddy yankee Rock Pop Punk cover nightcore djulus semaphore schoolboy komore,65,5,196.15879166666667,854750,0.0203916427401184
POOL,tricot,dsco,math rock progressive indie j-rock t_h_e japanese,39,17,222.5454648526077,854942,0.0718954215067776
Romance ga Ariamaru,Gesu no Kiwami Otome.,vikala,hip hop progressive rock pop japanese strayer's chronicle ayyri eiri- blastthekidd maestrosplinter agatsu toybot,183,68,224.6933106575964,856645,0.2981842218796596
Storyteller,Tadokoro Azusa,Sotarks,so what? reform kujinn snownino_,40,15,273.288,856930,0.0512280085477591
Scary Movie,S3RL,Nuvolina,Anto halloween horror happy hardcore electronic english techno rave serl dance,20,7,176.6138775510204,858442,0.033972415323177
