title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
GONG,WANIMA,Smoke,full ver version japanese anime j-rock jrock rock film movie 14 2019 luffy zoro sanji nami usopp chopper robin franky brook Summer Trap!! trap kenta ワンピーススタンピード,2,270.0016326530612,1099681,0.0037036813080495354
Akayake no Majo,ELFENSJoN,Icekalt,ash of rouge alternative metalcore jrock japanese nao tomori naotoshi  黒瀬 圭亮 Keisuke Kurose okogeeechann 藤田 和哉 Fujita Kazuya 戎屋 聖一郎 Seiichiro Ebisuya みゅー YUU ORYO,2,263.6538775510204,1100484,0.0037928514812246112
Meisou Suru Saraband,Nanahoshi Kangengakudan,Nattu,vocaloid Hatsune miku sarabando niat spain dance tatemae blourgh ent entsetzen kudou chitose let1s3 letiss defreeyay japanese rock metal alternative anishina kodoku loreley runigh Paranormal LEGACY Nanahoshi Orchestra Sarabande,2,242.08532879818594,1103560,0.004130774900587423
Pokopoko Tanuki to Pusu Usagi,Uratanuki x Pusu,Nevo,zips amb1d3x Hishiro Chizuru frontier -_frontier_- srijanfromsd smoke glaceon cute anime boys in animal costumes じっぷす ハイエンドプリンス high end prince rabbit japanese rock pop,4,207.85632653061225,1103785,0.014433046374261656
Kunoichi demo Koi ga Shitai,yuikonnu & ayaponzu*,alacat,utaite litoluna iyasine Skystar Amamiya Yuko nico nico douga Vocaloid Hatsune Miku Kagamine Rin MikitoP Saine TomodachiboshuuP Suzumu,3,252.805,111045,0.007911235932833606
Answer is near,ONE OK ROCK,Nevo,mordred smokelind armin a_r_m_i_n soop so0p frostwich synderes Kuki1537 ook japanese rock smoke kudosu reform kujinn,2,222.9551020408163,1110954,0.004485207967193908
Act! Addict! Actors! (TV Size),A3ders!,arronchu1207,anime op opening japanese エースリー 佐久間 咲也 Sakuma Sakuya 酒井広大 Sakai Koudai 皇天馬 Sumeragi Tenma 江口拓也 Eguchi Takuya 摂津万里 Settsu Banri 沢城千春 Sawashiro Chiharu 月岡紬 Tsukioka Tsumugi 田丸篤志 Tamaru Atsushi ANIMATION PROJECT MANKAI Theatre Stage Liber Progressive Animation Works P.A.Works Studio 3Hz Pony Canyon Entertainment Incorporated Inc. mobile game jpop pop j-pop,2,91.248,1111424,0.010959144310012273
Akayake no Majo,ELFENSJoN,Hey lululu,Featured Artist Mappers' Guild ASH OF ROUGE: SIDE ELISIA alternative metalcore jrock japanese 黒瀬 圭亮 keisuke kurose okogeeechann 藤田 和哉 fujita kazuya 戎屋 聖一郎 Seiichiro Ebisuya みゅー YUU ORYO Icekalt lu^3 Kalibe Affirmation,2,263.6538775510204,1112439,0.0037928514812246112
Hijo de la Luna,Stravaganzza,ErufenRito,metal,3,209.7870068027211,11148,0.009533478886424812
Cardinal Rave,TAROLIN feat. Katakiri Rekka,Yusomi,shota on osu cubbby cubby -keitaro japanese electronic,3,248.29387755102042,1116399,0.008054971067859022
LEO,Eve,modding queue,smile numa mah japanese pop j-pop jpop utaite ermi fuju,2,247.48408163265307,1117083,0.0040406639223137
utopia,AliA,Akitoshi,Corinn -Laura- Dubturt Kowari Realize アリア AYAME Okamura Eren TKT RINA SEIYA BOB rock japanese,2,265.35183333333333,1117851,0.0037685814619709303
Think Alone,Reol,DeRandom Otaku,japanese jpop pop BunmeiEP Bunmei shinkaron ren fuju ermi kowari modding queue giga,2,222.29327083333334,1125778,0.0044985617254683355
Rock N Roll,Avril Lavigne,Zero__wind,UnitedWesin UWS punk,2,206.91591666666667,112777,0.004832880989097423
Ningyou wa Tasogare ni Yume o Miru ka,Kakka,ponbot,絶対征服わんわん zettai seifuku wanwan つゆり花鈴 tsuyuri karin かそかそ kasokaso japanese rock jrock j-rock kogumax rrtyui,2,291.5787755102041,1138639,0.003429604909514424
Sent from my ipod recorder (VINXIS Edit),VINXIS,wafer,japanese electronic gabber techno anime iwaifu ioexception deadcode ceo_of_osu ceo of osu door weapon xiced jasontime12345 crossing field LiSA highscore panda eyes opening sword art online sao 500 Tortures call me it. t+pazolite hardcore electronic japanese clover z santa san Quick Brown Fox The Big Black Renard svort,2,85.89473922902495,1140226,0.01164215653922245
Karma,CircusP & Eyeris,Noffy,sleppu 715 Vocaloid English Electronic Novelty Pop Kagamine Rin 鏡音リン Circus-P VocaCircus Doofus CheezItsAreYummy matt9five Creep-P CreepP,2,234.70149659863947,1143814,0.0042607312458262225
Golden Route,Duca,Left,Kiniro Kin-iro Kin'iro Loveriche Kinkoi SAGA PLANETS Fandisc Eroge Visual Novel Japanese シルヴィア・ル・クルスクラウン・ソルティレージュ・シスア Sylvia le Cruzcrown Sortilège Sisua OP opening solfa Full version ver Misure Garden,2,268.60616666666664,1144363,0.003722922717708765
Kiga to Hougyoku (Game Ver.),konore,RK657,TOKYOTOON Hunger and Orb marco and the galaxy dragon galgame opening video game 斎藤優輝 Yuki Saito はと Hato visual novel japanese rock j-rock jrock pop j-pop jpop,2,96.12566666666666,1144382,0.010403048786831128
Ringo Ribbon,Touyama Nao & Yamazaki Haruka,Fycho,神のみぞ知るセカイ Kami Nomi zo Shiru Sekai ハヤテのごとく! Hayate no Gotoku nakagawa kanon suirenji ruka 中川かのん 水蓮寺ルカ,2,250.40479166666665,114490,0.003993533803183679
Shiny Happy Days (TV Size),"Yagi Yuki, Saeki Iori, Izawa Shiori, Itou Miku, Noguchi Yuri, Mizutani Marin",Nozhomi,Nekopara opening anime japanese catgirl neko works nekomimi chocola vanilla azuki maple cinnamon coconut anime opening ショコラ バニラ アズキ メイプル シナモン ココナツ shapy imakuri vick,2,92.09,1145925,0.01085894233901618
Funkotsu Saishin Casino,Morimori Atsushi,SuperBox,FA osu! featured artist instrumental electronic newspaper cup 2020 npc mapping contest PeroPeroGames video game taito groove coaster marvelous inc. wacca Cytus II Rayark Acylica papapa213 110 Pata-Mon,3,121.86122448979592,1153959,0.016412111468381566
Untitled world,ReoNa,Shurelia,Arknights アークナイツ Japanese Video Game gacha Amiya Yostar A-1 Hypergryph LCFC lowcombofc Kirylln 10nya Ducky- Hikan ScubDomino natsume shiki jungkyuyoung anime girl Kowari Risen citreum bws celine Kalibe Kayoko Kusano 草野 華余子 (LIVE LAB.) 毛蟹 Akita Horie 堀江晶太,2,90.30530612244898,1156668,0.011073546427538328
Otome no Route wa Hitotsu ja Nai! (TV Size),angela,coco,cococolaco loli catgirl My Next Life as a Villainess: All Routes Lead to Doom! Hamefura Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... bakarina anime op opening japanese,4,92.29061224489796,1157063,0.032506014718369655
VIP KID,REOL,Sparhten,Amiya Sigma Japanese J-Pop pop RΞOL GigaP Okiku れをる DeRandom Otaku Mentai Chizuru xchippy Chaoslitz fuju SnowNiNo_  お菊 ギガ Σ Sotai Soutai Sekai The Relative Worlds ソウタイセカイ,2,232.06875,1164168,0.004309067894751017
Kanojo,UPLIFT SPICE,Beren,cut version lobelia vivicat THE MUSMUS rain Ellegarden VS Brahman  japanese rock girlfriend,4,117.5002947845805,1171142,0.025531850839183495
Sentimental Crisis,halca,Hitsukuya,Kaguya-sama wa kokurasetai tensai-tachi no renai zunosen kaguya wants to be confessed the genius war of love and brains is full size japanese anime ending pop j-pop jpop shady -[Shady]- iceluin Mimilie Suzuhara Lulu,2,242.57333333333332,1171966,0.004122464684219206
Far From Truth,BLANKFIELD,Hey lululu,warinside Fast Forward to End of East アルティメットトゥルース Team Shanghai Alice 上海アリス幻樂団 progressive metal Instrumental video game Mappers' Guild Featured Artist FA 太田 順也 ZUN Touhou TH 東方Project PCB Comiket 77 Ultimate Truth Stage 6 Theme eiri- fieryrage IsomirDiAngelo Crissa lu^3 ayyri,5,181.89061224489797,1171995,0.021991239408301017
083 - nekomimi,saradisk,Nozhomi,catgirl pokemon MAD electronic japanese spork lover zer0- xTheZer0x zero route 1 one 2015 The Little Sprite square enix squaresoft hiroki kikuta,2,75.96408163265306,1173332,0.013164116231086657
